video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=B--aalPxhsA&pp=ygUdYWxnb3JpdGhtIGJpYXMgZGlzY3JpbWluYXRpb27SBwkJhwoBhyohjO8%3D,/@RiskMindsTV,RiskMindsTV,How do you measure discrimination bias in models and algorithms?,93,3 years,"Gilles Artaud, Head of Model Risk, Crédit Agricole, shares his experience in using machine learning and AI to prevent ...",2026-01-22 03:30:44.832669
/watch?v=a0q4gFUDeF0&pp=ygUdYWxnb3JpdGhtIGJpYXMgZGlzY3JpbWluYXRpb24%3D,/@AnimatedTechWorldTV,Animated Tech World,Bias in the Machine: How Algorithms Perpetuate Discrimination,5,1 year,"Algorithms, designed to be objective, can perpetuate and amplify existing biases through biased training data and feedback loops ...",2026-01-22 03:30:44.835234
/watch?v=tia5OHE98F4&pp=ygUdYWxnb3JpdGhtIGJpYXMgZGlzY3JpbWluYXRpb24%3D,/@IpprOrg,Institute for Public Policy Research,Algorithmic Bias Explained,3.1K,6 years,Algorithms risk magnifying human bias and error on an unprecedented scale. Rachel Statham explains how they work and why ...,2026-01-22 03:30:44.838365
/watch?v=FD-4yC95iZY&pp=ygUdYWxnb3JpdGhtIGJpYXMgZGlzY3JpbWluYXRpb24%3D,/@uclaitlp,"UCLA Institute for Technology, Law & Policy ",AI & Bias - When Algorithms Don't Work,16K,3 years,"Demystifying AI is a series of short videos explaining algorithms and AI, answering questions including ""what is an algorithm?",2026-01-22 03:30:51.777078
/shorts/D-ED8gINPxM,/@Aiangle123,AI Angle,The Dark Side of Algorithms  Bias and Discrimination,312,1 year,Discover the hidden biases that lurk within the algorithms that shape our world. This video explores how algorithmic ...,2026-01-22 03:30:51.778753
/watch?v=N8oOW3LDThE&pp=ygUdYWxnb3JpdGhtIGJpYXMgZGlzY3JpbWluYXRpb24%3D,/@GianlucaMauro,Gianluca Mauro,AI & Discrimination video 2 - What is bias?,284,5 years,What is bias? Bias is actually a mathematical concept. I believe that understanding better what that means can help recognising ...,2026-01-22 03:30:51.780008
/watch?v=9K9ZR_lGRpY&pp=ygUdYWxnb3JpdGhtIGJpYXMgZGlzY3JpbWluYXRpb24%3D,/@novapbs,NOVA PBS Official,Search Engine Breakdown: Are Algorithms Racist and Sexist? | Full Film,17K,4 years,"Why does a widely-used internet search engine deliver results that can be blatantly racist and sexist? ""Beyond the Search"" tells ...",2026-01-22 03:30:51.781866
/watch?v=589O8esdVb4&pp=ygUdYWxnb3JpdGhtIGJpYXMgZGlzY3JpbWluYXRpb24%3D,/@PBSNewsHour,PBS NewsHour,"Racial bias in widely used hospital algorithm, study finds",10K,6 years,A recent study published in Science Magazine found significant racial bias in an algorithm used by hospitals across the nation to ...,2026-01-22 03:30:51.783205
/watch?v=kTjWe_s0D90&pp=ygUdYWxnb3JpdGhtIGJpYXMgZGlzY3JpbWluYXRpb24%3D,/@Trendtalk4u,TrendTalk USA ,"“AI Bias Exposed: How Algorithms Discriminate (And How We Fix It) | TrendTalk USA""",18,10 months,"AI isn't neutral—it's shaping our lives in ways we don't realize. From wrongful arrests to biased hiring, artificial intelligence reflects ...",2026-01-22 03:30:51.784887
/watch?v=g_Wbsp0xwj8&pp=ygUdYWxnb3JpdGhtIGJpYXMgZGlzY3JpbWluYXRpb24%3D,/@GBHForumNetwork,GBH Forum Network,Algorithmic Bias: A Case Study of Facebook Ads,1.3K,6 years,"Measuring discrimination that can be caused by data-driven algorithms, and finding ways to mitigate it has been one of the most ...",2026-01-22 03:30:51.786788
/watch?v=Y8KDGYCabgs&pp=ygUdYWxnb3JpdGhtIGJpYXMgZGlzY3JpbWluYXRpb24%3D,/@TheFynopsis,The Fynopsis,AI Bias: When Algorithms Discriminate | AI-Driven Discrimination & Exclusion,12,2 months,This video is part of our ongoing series exploring how artificial intelligence is transforming businesses for good and otherwise.,2026-01-22 03:30:51.787958
/watch?v=5eajjmMH11Y&pp=ygUdYWxnb3JpdGhtIGJpYXMgZGlzY3JpbWluYXRpb24%3D,/@destinytheexperimenter4201,Destiny the Experimenter,Technically Biased (A Breakdown of Algorithmic Bias),172,3 years,This video is a capstone project for Our Future is Science! Our Future is Science is a mentorship program through the Aspen ...,2026-01-22 03:30:51.789064
